title,body,compensation,pay_amount,amount,email
Seeking MILF Pick-up Artists,"QR Code Link to This Post
            
        
Independent up and coming magazine about MILF's seeks Real Life MILF Pickup Artists. Seeking Men/and women/ who are skilled and experienced in picking up MILFs. Looking for MILF Pickup Artists to interview for magazine article. 

Contact me if interested and qualified

Compensation: copy of magazine, credit offered
no pay",no pay,-1,NA,8b931e0f988a32cdad01923aa103cd78@gigs.craigslist.org
Sr. Business Analyst,"QR Code Link to This Post
            
        
Our company is seeking a senior government consultant with three to five years of management consulting experience. The resource will work with clients to help solve business issues to improve business processes, document business needs to maximize technology investments, and work to meet organization goals.

• Assist in business development activities and written proposals;
• Analyze business processes and programs and define recommendations;
• Document business functional, and technical requirements;
• Adapt to client’s current practices and procedures as needed while at the same time;
• Assist in identifying and implementing process improvements;
• Research and analyze background documents, program issues, and best practices;
• Document and facilitate meetings with client staff and stakeholders;
• Prepare written documents and presentations;
• Present to client’s findings and recommendations.

* Local Candidates Only",compensation: Competative Hourly Rate,-1,hourly,948f2dc226e53ae7963cb1681fc5fd15@gigs.craigslist.org
Clothing fitting model and feedback needed,"QR Code Link to This Post
            
        
This is a fitting test for 45 knit pieces including sweaters, dresses and pants.

You will need to pose for photos from the side and front and for each piece of clothing need to answer 4 questions about fit and finish. 

Photos will be taken in an office on East Avenue. 

Should not take more than 2.5-3 hours.

Can be done 6PM or later any day this week or this coming Saturday.",compensation: TBD,-1,NA,ce31860047f33c4183513bab9d08da22@gigs.craigslist.org
CAD & Graphic Rendering and layout,"QR Code Link to This Post
            
        
We are looking for a part time CAD designer with 3D graphic experience.   We create new products and designs for inside homes.  We would like to offer part time work to the right person.   We have the proper equipment and layout at our office.   Hours are flexible.",compensation: Starting at $20.00 per hour based on experience,20,hour,37a5a1e9d67f3bb78038e98b0b6dbc09@gigs.craigslist.org
Public Speaking / Retail Presenter W2 $700-1200+/wk,"QR Code Link to This Post
            
        
We are hiring candidates possessing the ability to speak from a podium and learn a short script for multiple road shows. Demonstrate quality products at top retailers. Realistic income $150-$300+/per day. Top reps can make $2000+/wk! No cap. Only applicants with resumes will be considered. If you’d like to have fun and make great money, send your resume for consideration.

*Warehouse clubs
*Realistic $700-$1200+ per week
*Guaranteed base draw
*Management Fast Track
*W2 Full-time employment including weekends
*Must have reliable transportation


HOW TO APPLY:

To apply, please submit your resume and a short message about your experience doing sales or demonstrations.",compensation: W2 Guaranteed weekly draw/commissions,-1,commissions,7d176b37ffa4305984556698216dd6e5@gigs.craigslist.org
After Effects - Animation,"QR Code Link to This Post
            
        
ISO of an after effects animator to create 2D animation for a small project. Please respond with rates and samples of your work.",compensation: TBD,-1,NA,41e9b1981e8a3670b468f1204ccdec36@gigs.craigslist.org
Caricature Artist or Magician,"QR Code Link to This Post
            
        
I’m looking for a caricature artist or a magician for two hours on February 29th for a small appreciation party.  Please let me know your fees.",compensation: Dependent on charges,-1,NA,ed263f622ac936c9b8c87b7d5bdc864f@gigs.craigslist.org
Transcription of PDF articles and letters,"QR Code Link to This Post
            
        
I am in need for transcription of about 100 articles from PDF publications.  The publications are from the years 1910s - 1930s, and the articles cover reports of evangelical missionary work in China. The articles vary in size, from a few hundred to a few thousands words.

The services would require transcribing the PDF news article content into MS Word format, putting all articles into a single Word document.

Must keep news articles in chronological order, beginning with the earliest. 

Includes writing publication citation in MLA format for new article. 

Accuracy and quality is important.

Copy and paste is unlikely to be a viable path for getting the content into MS Word.

The turnaround time is not urgent and can be mutually agreed upon. 

The news publications are in PDF format and will be provided in a ZIP file. As best as possible, the relevant sections to transcribe are highlighted. See attached images for examples. Note that the highlighting starts and stops. The highlights are directional, pointing to the article to be transcribed. The expectation is that the whole article is transcribed, and the highlights are just to help recognize the relevant article. 

Since the articles vary in size, it is not clear what the total word count / line count / etc. to be expected or the duration of the work.

Please reply back with relevant experience, WPM typing speed. References may be requested. 

Thank you,
Mark
Raleigh, NC",compensation: $12 / hr,12,hr,9cfb683f8dc7331fa26000ce4130d781@gigs.craigslist.org
Script Developer,"QR Code Link to This Post
            
        
I need someone to develop a script for me on my iPhone or my Android. If interested and qualified, please contact me for additional information. Please include your contact information in your reply. Thank you",compensation: TBD-Will Discuss,-1,NA,ecad80eb3bba322cad31ef4366e9301a@gigs.craigslist.org
Fitness model,"QR Code Link to This Post
            
        
Looking for athletic/fit model for social media and promotion purposes regarding a wellness related product and training.",compensation: 100,100,NA,53b2a6ea57db3de7897ac0a151b5b7cb@gigs.craigslist.org
